first_names,affixes,surnames
Aad,'t,Jong
Aart,aan ‘t,Vries
Ab,aan de,Jansen
Abraham,aan den,Berg
Ad,aan der,Bakker
Ada,bij,Dijk
Adam,bij ‘t,Visser
Adolf,bij de,Janssen
Adriaan,bij den,Smit
Adriaen,bij het,Meijer
Adrian,de,Meyer
Adriana,den,Peeters
Adrianus,der,Janssens
Aernout,in,Maes
Aert,in ‘t,Jacobs
Agatha,in de,Mertens
Ageeth,in den,Willems
Albert,in der,Claes
Albertus,in het,Goossens
Aleida,onder,Wouters
Aletta,onder ‘t,Smet
Alexander,onder de,Boer
Alfred,onder den,Mulder
Alida,onder het,Groot
Alvin,op ‘t,Bos
Alwin,op de,Vos
Amalia,op den,Peters
Andreas,op der,Hendriks
Andries,op het,Leeuwen
Anna,op ten,Dekker
Anne,over ‘t,Brouwer
Anneke,over de,Wit
Anneliese,over den,Dijkstra
Annemarie,over het,Smits
Annemieke,te,Graaf
Annette,ten,Meer
Annie,ter,Linden
Annika,ter,Kok
Anouk,tot,Jacobs
Ans,uit ,Haan
Anthonie,uit ‘t,Vermeulen
Anthonis,uit de,Heuvel
Anthonius,uit den,Veen
Antje,uit het,Broek
Anton,uit ten,Bruijn
Antonia,van,Bruin
Antonie,van ‘t,Bruyn
Antonis,van ‘t,Heijden
Antonius,van de,Heyden
Antoon,van den,Schouten
Arend,van der,Beek
Arie,van ter,Vliet
Arjan,vd,Ven
Arjen,voor,Hoekstra
Arno,voor de,Maas
Arnold,voor den,Koster
Arnoldus,voor in ‘t,Dam
Arnoud,,Wal
Arnout,,Prins
Arthur,,Blom
Astrid,,Huisman
Axel,,Jonge
Babette,,Kuipers
Barbara,,Post
Barend,,Kuiper
Bart,,Veenstra
Bartholomeus,,Kramer
Bas,,Brink
Bastiaan,,Scholten
Bauke,,Wijk
Beatrix,,Postma
Berend,,Martens
Bernardus,,Vink
Bernhard,,Ruiter
Bert,,Timmermans
Bertus,,Groen
Bjorn,,Gerritsen
Boudewijn,,Jonker
Bram,,Loon
Bruno,,Boer
Calvin,,Velde
Carel,,Willemsen
Carl,,Smeets
Carlijn,,Lange
Carolien,,Bosch
Carolijn,,Dongen
Caroline,,Schipper
Carolus,,Meulen
Cas,,Hofman
Catharina,,Bosman
Cees,,Wolters
Charlotte,,Sanders
Christiaan,,Horst
Christoffel,,Mol
Claes,,Kuijpers
Claudia,,Kuypers
Clemens,,Molenaar
Cobie,,Pol
Coen,,Leeuw
Coenraad,,Verbeek
Conradus,,
Cor,,
Cor,,
Cornelia,,
Cornelis,,
Corrie,,
Daan,,
Daniël,,
Daniëlle,,
David,,
Derek,,
Derk,,
Diederik,,
Dirk,,
Dolf,,
Dora,,
Dorothea,,
Doutzen,,
Douwe,,
Dries,,
Duif,,
Eduard,,
Edwin,,
Eefje,,
Eelco,,
Egbert,,
Egon,,
Eibert,,
Elbert,,
Elke,,
Ellen,,
Elly,,
Els,,
Emiel,,
Emma,,
Eric,,
Erik,,
Eva,,
Evert,,
Ewout,,
Fabian,,
Famke,,
Felix,,
Femke,,
Fleur,,
Floortje,,
Florian,,
Floris,,
Franciscus,,
Frank,,
Frans,,
Frederik,,
Frida,,
Frits,,
Gabriël,,
Geert,,
Geerten,,
Geerten,,
Geertgen,,
Geertruida,,
Gerard,,
Gerarda,,
Gerardus,,
Gerbrand,,
Gerda,,
Gerhard,,
Gerhardus,,
Gerrie,,
Gerrie,,
Gerrit,,
Gert,,
Gerwin,,
Gesina,,
Giel,,
Gijs,,
Gijsbert,,
Gilbert,,
Gillis,,
Godfried,,
Goos,,
Govert,,
Greet,,
Gregoor,,
Grietje,,
Guido,,
Gustav,,
Guus,,
Han,,
Hanneke,,
Hannes,,
Hans,,
Hansje,,
Harm,,
Harmen,,
Harrie,,
Heidi,,
Hein,,
Heinke,,
Heleen,,
Helga,,
Helge,,
Hendrick,,
Hendrik,,
Hendrika,,
Hendrikus,,
Henk,,
Hennie,,
Hennie,,
Henricus,,
Henriëtte,,
Herbert,,
Herman,,
Hermanus,,
Hessel,,
Hilbert,,
Hilda,,
Hubert,,
Hubertus,,
Huib,,
Huub,,
IJsbrand,,
Ilse,,
Ineke,,
Inge,,
Ingrid,,
Irene,,
Ivo,,
Jaap,,
Jacco,,
Jack,,
Jack,,
Jaco,,
Jacob,,
Jacoba,,
Jacobus,,
Jacqueline,,
Jan,,
Janneke,,
Jannes,,
Janus,,
Jasper,,
Jef,,
Jelle,,
Jeroen,,
Jesse,,
Jet,,
Jo,,
Jo,,
Joan,,
Jochem,,
Joep,,
Joeri,,
Johan,,
Johanna,,
Johannes,,
Joke,,
Jolanda,,
Jolijn,,
Jonas,,
Jonathan,,
Joop,,
Joos,,
Joost,,
Jorien,,
Jorien,,
Joris,,
Jorrit,,
Jos,,
Josephina,,
Josephus,,
Jozef,,
Judith,,
Julius,,
Jurjen,,
Karel,,
Karen,,
Karien,,
Karin,,
Karl,,
Karlijn,,
Karolien,,
Katja,,
Kees,,
Klaas,,
Klaus,,
Kobus,,
Koen,,
Koenraad,,
Koos,,
Kornelia,,
Kristi,,
Kristof,,
Lambert,,
Lambertus,,
Lambrecht,,
Lammert,,
Lars,,
Laurens,,
Leendert,,
Leonardus,,
Leopold,,
Lex,,
Lieke,,
Liesbeth,,
Lieve,,
Lieve,,
Lieven,,
Lillian,,
Lina,,
Linus,,
Lodewijk,,
Loes,,
Lonneke,,
Lotte,,
Lowiena,,
Ludger,,
Ludo,,
Ludovicus,,
Lukas,,
Luuk,,
Maaike,,
Maarten,,
Maartje,,
Machiel,,
Maikel,,
Manon,,
Manuel,,
Marcel,,
Marco,,
Margaretha,,
Margo,,
Margriet,,
Maria,,
Marianne,,
Marieke,,
Marije,,
Marijke,,
Marijn,,
Marijn,,
Marinus,,
Mariska,,
Marius,,
Marja,,
Marjan,,
Marjo,,
Marjolein,,
Mark,,
Marko,,
Marleen,,
Marlies,,
Marloes,,
Marnix,,
Mart,,
Marta,,
Marten,,
Martien,,
Martijn,,
Martin,,
Martinus,,
Mattheus,,
Matthias,,
Matthijs,,
Maurits,,
Mauritz,,
Meike,,
Melanie,,
Melis,,
Melvin,,
Menno,,
Merel,,
Michel,,
Michiel,,
Mieke,,
Milan,,
Mirjam,,
Myrthe,,
Nadine,,
Nanne,,
Nanne,,
Natalie,,
Nathalie,,
Nel,,
Nelis,,
Nettie,,
Nico,,
Nicolaas,,
Niek,,
Nienke,,
Nikolaas,,
Noe,,
Norbert,,
Norman,,
Okkie,,
Olaf,,
Olivier,,
Onno,,
Otto,,
Pascal,,
Paul,,
Paula,,
Paulien,,
Paulus,,
Peet,,
Pepijn,,
Peter,,
Petronella,,
Petrus,,
Philip,,
Pier,,
Piet,,
Pieter,,
Pim,,
Puck,,
Quirijn,,
Ralph,,
Rein,,
Reinder,,
Reindert,,
Reinhardt,,
Reinhart,,
Reinier,,
Reinout,,
Rembrandt,,
Remco,,
Rens,,
Reynier,,
Ria,,
Rie,,
Rien,,
Rik,,
Rik,,
Rinus,,
Robbert,,
Robert,,
Roel,,
Roeland,,
Roelant,,
Roelof,,
Rogier,,
Roland,,
Rombout,,
Romeyn,,
Ronald,,
Roos,,
Rudolf,,
Rudolph,,
Rutger,,
Ruud,,
Ruurd,,
Saco,,
Samuel,,
Sander,,
Sanne,,
Saskia,,
Sebastiaan,,
Sem,,
Simon,,
Sjaak,,
Sjoerd,,
Sophie,,
Stef,,
Stefaan,,
Stefan,,
Stijn,,
Stoffel,,
Suzanne,,
Sven,,
Sylvester,,
Taco,,
Teun,,
Teunis,,
Teuntje,,
Teuntje,,
Thaddeus,,
Theo,,
Theodoor,,
Theodor,,
Theodore,,
Theodoros,,
Theresia,,
Theunis,,
Thijmen,,
Thijs,,
Thomas,,
Tielman,,
Tijs,,
Timo,,
Tineke,,
Tinus,,
Tjalling,,
Tjapko,,
Tjeerd,,
Tobias,,
Toine,,
Toine,,
Tom,,
Ton,,
Tonie,,
Tonie,,
Toon,,
Toos,,
Trijn,,
Truus,,
Twan,,
Valentijn,,
Valerie,,
Vicky,,
Vincent,,
Viola,,
Walraven,,
Walter,,
Werner,,
Wiebe,,
Wijnand,,
Wilco,,
Wilhelmina,,
Wilhelmus,,
Willeke,,
Willem,,
Willemijn,,
Willemina,,
Wilma,,
Wim,,
Wisse,,
Wolter,,
Wout,,
Wouter,,
Yvette,,
Yvonne,,
Zeger,,
